Mean(z_rock_height),species_cat_01
0.97189,Focus Species
3.322897598,Focus Species
3.730175687,Other Species
1.05668594,Other Species
0.529999999,Other Species
0.4067,Focus Species
1.04471466,Other Species
3.27486,Other Species
1.059999997,Focus Species
2.872161165,Focus Species
2.81782,Other Species
0.1131,Focus Species
0.58,Other Species
1.799999998,Other Species
2.64039,Focus Species
3.489999999,Other Species
3.789219577,Focus Species
3.420345578,Other Species
3.110447031,Focus Species
1.83999271,Focus Species
1.34272444,Focus Species
2.102914672,Focus Species
3.283341236,Other Species
0.58,Other Species
2.598865585,Focus Species
2.63879,Focus Species
1.74,Other Species
2.859909322,Focus Species
3.892382399,Focus Species
1.52484,Other Species
3.079839992,Other Species
1.829586361,Other Species
3.142886561,Focus Species
1.87499342,Focus Species
1.75,Other Species
1.26013,Other Species
2.72667,Other Species
1.30832,Focus Species
3.219541799,Focus Species
1.57752281,Other Species
0.4832,Other Species
0.33,Focus Species
3.808974656,Focus Species
0.919923015,Other Species
3.01667,Focus Species
2.05637,Focus Species
3.172728657,Focus Species
1.820095527,Focus Species
-0.2617083,Other Species
1.28,Focus Species
1.165307997,Focus Species
1.01955242,Other Species
0.7275214,Other Species
0.7631729,Other Species
1.9217,Focus Species
3.079839992,Focus Species
3.48667,Other Species
2.29781139,Other Species
1.629999998,Other Species
2.1284,Focus Species
1.631751578,Other Species
-0.1776952,Other Species
1.53667,Focus Species
-0.06,Other Species
0.97,Other Species
3.17684,Other Species
1.75667,Other Species
0.3378037,Focus Species
1.7749,Focus Species
3.250000003,Focus Species
3.097199882,Focus Species
3.234159828,Focus Species
2.739999999,Focus Species
3.930262311,Other Species
3.770000001,Other Species
3.840000001,Other Species
4.319999998,Other Species
0.97268787,Focus Species
2.52014,Other Species
2.300000001,Focus Species
3.17691,Other Species
1.75667,Focus Species
1.99,Other Species
2.560056506,Focus Species
3.074096117,Other Species
0.91346736,Other Species
2.849755194,Focus Species
3.191066697,Focus Species
3.29811694,Focus Species
1.98167751,Other Species
3.1226,Other Species
1.30832,Other Species
1.62,Other Species
2.99667,Other Species
-0.312874,Other Species
2.179999999,Focus Species
0.6626,Other Species
2.32813,Focus Species
1.69832,Other Species
2.43657,Focus Species
2.759701634,Other Species
3.84639588,Focus Species
1.342803996,Focus Species
0.6659969,Focus Species
3.01066,Focus Species
1.95769495,Other Species
3.52462754,Focus Species
0.4525357,Focus Species
2.50654,Focus Species
-0.0131,Other Species
1.620000001,Other Species
3.256253226,Focus Species
1.83992,Focus Species
1.339438237,Other Species
1.50259595,Other Species
-0.1183814,Other Species
3.15667,Other Species
2.152059875,Focus Species
2.672754331,Other Species
2.49804743,Other Species
1.0304,Focus Species
2.915661493,Focus Species
3.138038856,Other Species
2.35005,Focus Species
3.05324,Other Species
0.855,Other Species
2.8,Other Species
1.49,Other Species
0.5198805,Other Species
3.384146495,Other Species
1.55762369,Other Species
2.373328984,Focus Species
1.09078613,Other Species
1.04,Other Species
2.879979295,Focus Species
-0.1642364,Other Species
2.3429,Other Species
1.095,Other Species
-0.3978576,Other Species
2.640645836,Focus Species
0.7349,Other Species
1.27270692,Other Species
1.13939791,Other Species
1.88,Other Species
1.11456,Other Species
-0.2305277,Other Species
2.988990753,Focus Species
2.418310464,Other Species
3.513085164,Focus Species
3.07,Focus Species
1.339679712,Other Species
0.890000001,Other Species
2.728074147,Focus Species
2.26588511,Focus Species
2.428249202,Focus Species
4.2,Other Species
1.7673153,Other Species
2.930017054,Focus Species
3.470000002,Other Species
2.330336304,Focus Species
3.10667,Other Species
1.382499999,Other Species
2.18647,Focus Species
0.779933029,Focus Species
1.74,Focus Species
0.98,Other Species
2.616778591,Focus Species
3.180000001,Focus Species
2.730058043,Focus Species
2.64576112,Other Species
2.53663,Other Species
0.93927676,Other Species
1.8399959,Focus Species
3.307552347,Focus Species
1.69668,Focus Species
1.49,Other Species
0.861750008,Focus Species
1.54,Other Species
3.28506707,Other Species
3.030762151,Focus Species
0.8570037,Focus Species
1.60667,Other Species
1.27062292,Other Species
1.75,Other Species
1.90370126,Focus Species
2.536111094,Focus Species
1.79491196,Focus Species
3.07273,Focus Species
0.92498,Other Species
1.03,Other Species
3.411401321,Focus Species
0.85400025,Other Species
2.92,Focus Species
2.488044725,Focus Species
2.49175,Focus Species
2.55575429,Other Species
0.444424112,Other Species
2.41272826,Focus Species
2.05261924,Other Species
1.36744,Other Species
1.73864,Other Species
3.862086301,Other Species
2.976550864,Focus Species
1.77,Other Species
-0.04,Other Species
0.2561,Focus Species
2.287783132,Other Species
3.212930838,Focus Species
3.699999999,Other Species
0.98857,Focus Species
1.55456,Focus Species
2.37,Focus Species
2.62544,Focus Species
1.33891214,Focus Species
-0.2911816,Other Species
1.32160231,Other Species
1.382499999,Other Species
1.25285653,Other Species
-0.2019493,Other Species
2.750000003,Focus Species
2.20020186,Other Species
0.559805465,Other Species
1.81665,Focus Species
3.018895643,Other Species
2.923063095,Focus Species
0.879999998,Other Species
0.791,Focus Species
1.911949611,Other Species
1.762402731,Focus Species
2.74,Other Species
3.822269743,Other Species
2.69727,Focus Species
1.36247925,Other Species
